Rxns,L-arabinose,L-arabinose.1,L-arabinose.2,D-fructose,D-fructose.1,D-fructose.2,D-galactose,D-galactose.1,D-galactose.2,D-galacturonic acid,D-galacturonic acid.1,D-galacturonic acid.2,D-glucose,D-glucose.1,D-glucose.2,D-glucuronic acid,D-glucuronic acid.1,D-glucuronic acid.2,D-mannose,D-mannose.1,D-mannose.2,L-rhamnose,L-rhamnose.1,L-rhamnose.2,D-xylose,D-xylose.1,D-xylose.2,Kruskal-Wallis p-value
EX_ptrc_e,0.0001409932654424,0.0001409932654424,0.0001409932654424,0.0002236565568419,0.0002236565568419,0.0002236556614736,0.0002236521468881,0.0002236558966195,0.0002236558966195,0.0001298334315852,0.0001298271033495,0.0001298273350846,0.0002236517885774,0.0002236517885774,0.0002236517885774,0.0001859695936024,0.0001859710542355,0.0001859695936024,0.0002236596452123,0.0002236521457496,0.0002236521457521,0.000145092548438,0.000145092548438,0.000145092548438,9.78339131963666e-05,9.78266768670833e-05,9.78288143017811e-05,0.0014893991462245789
EX_pyr_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002091225209011,0.000209122520901,0.000209122520901,0.0001410084444546,0.0001409980147021,0.000141001095396,0.001094597241280264
EX_ribflv_e,0.0010343420987756,0.0010343420987756,0.0010343420987756,0.0014062521016647,0.0014062521016647,0.001406248073317,0.0014062322608632,0.0014062491312615,0.0014062491312615,0.0009841329458154,0.0009841044744817,0.0009841055170799,0.0012062306487899,0.0012062306487899,0.0012062306487899,0.0009366948729363,0.0009367014444634,0.0009366948729363,0.0014062659965366,0.0014062322557413,0.0014062322557523,0.0,0.0,0.0,0.0,0.0,0.0,0.0014757000262690975
EX_rmn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011344103905939,0.0011343634661463,0.0011343773264807,0.0010953119317964589
EX_rmn_e_r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014408620929049,0.0014408620929045,0.0014408620929045,0.0,0.0,0.0,0.0010839204537312856
EX_sbt__D_e,0.00066205912604,0.00066205912604,0.00066205912604,0.0011915901655102,0.0011915901655102,0.0011915865961912,0.0011915725855586,0.0011915875335828,0.0011915875335828,0.0006175712815683,0.0006175460545292,0.000617546978324,0.0008915711571798,0.0008915711571798,0.0008915711571798,0.0007413539002886,0.0007413597229933,0.0007413539002886,0.0011916024770682,0.0011915725810201,0.0011915725810302,0.0,0.0,0.0,0.0,0.0,0.0,0.0014757000262690975
EX_sbt__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011336513163526,0.0011336513163522,0.0011336513163522,0.0006621196360386,0.0006620780586091,0.0006620903395651,0.001094597241280264
EX_ser__L_e,2.23292501832011e-05,2.23292501832011e-05,2.23292501832011e-05,1.51803092879149e-05,1.51803092879149e-05,1.51802485163099e-05,3.54200232628275e-05,3.5420617111692e-05,3.5420617111692e-05,2.05618556809222e-05,8.81179434499284e-06,2.05608901717842e-05,3.54199665167928e-05,3.54199665167928e-05,3.54199665167928e-05,1.26223706065039e-05,2.94524294038229e-05,1.26223706065039e-05,3.54212107802364e-05,3.54200230825246e-05,3.54200230829263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0020437864901910845
EX_so3_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31189512739423e-05,3.3118951273924e-05,3.3118951273924e-05,2.23316540991521e-05,2.23300023284013e-05,2.23304902210908e-05,0.001094597241280264
EX_so4_e_b,3.16225586127117e-05,3.16225586127117e-05,3.16225586127117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001050299731110537
