Rxns,L-arabinose,D-fructose,D-galactose,D-galacturonic acid,D-glucose,D-glucuronic acid,D-mannose,L-rhamnose,D-xylose,averageFlux,log2FC_L-arabinose,log2FC_D-fructose,log2FC_D-galactose,log2FC_D-galacturonic acid,log2FC_D-glucose,log2FC_D-glucuronic acid,log2FC_D-mannose,log2FC_L-rhamnose,log2FC_D-xylose
PLPSD18111Z1829Z12Z,5.1038286133031e-06,8.09615414971371e-06,8.09609580847326e-06,4.69970280566525e-06,8.0959923466955e-06,6.73194861466724e-06,8.09609576729046e-06,0.0,5.10416355418242e-06,6.00266462888788e-06,-0.2340231821269127,0.4316336927119093,0.43162329655096865,-0.3530335381009761,0.4316048599179333,0.1654210982332899,0.4316232892123426,,-0.23392850777022603
PLPSD18111Z1835Z9Z12Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57004600546974e-06,0.0,8.41116222829972e-07,,,,,,,,3.169925001442311,
PLPSD1819Z1835Z9Z12Z,0.000335201435263,0.0004730977703993,0.0004730950818404,0.000316577970961,0.0003730903139768,0.0003102306319925,0.0004730950799426,0.0,0.0003352168704552,0.0003432894616479,-0.0343972435318391,0.46271279187337366,0.4627045931841045,-0.11686470069162776,0.12009933605953979,-0.1460844256251588,0.4627045873967969,,-0.03433081254373474
PLPSD1819Z1845Z9Z12Z15Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004488529534187,0.0,4.9872550379859e-05,,,,,,,,3.169925001442213,
PLPSD1829Z12Z1835Z9Z12Z,0.0017180763069531,0.0027253678906473,0.0027253482515273,0.001582037456957,0.0027253134237063,0.0022661422024123,0.0027253482376641,0.0,0.0017181890564266,0.0020206469806993,-0.23402318212690082,0.43163369271192714,0.43162329655102205,-0.35303353810097626,0.43160485991795394,0.16542109823331105,0.4316232892123744,,-0.2339285077702151
PMANM_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025482667365912,0.0,0.0002831407485101,,,,,,,,3.1699250014424822,
PPAm,9.85113833211199e-05,9.76386217063335e-05,9.76386387225286e-05,9.86292533483477e-05,9.76386688988805e-05,9.80365149873887e-05,9.76386387345403e-05,0.0,9.90075079039946e-05,8.71932475136815e-05,0.17607402942498543,0.1632355167495866,0.16323576817855714,0.17779919909966255,0.1632362140600964,0.1691027870045061,0.16323576835604045,,0.18332151827216628
PPBNGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77920699150713e-05,0.0,1.0865785546119e-05,,,,,,,,3.169925001442317,
PPCL(CTP),0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0001,7.77777777777778e-05,0.3625700793847081,0.3625700793847081,0.3625700793847081,0.3625700793847081,0.3625700793847081,,0.3625700793847081,,0.3625700793847081
PPM_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1.11111111111111e-05,,,,,,,,3.169925001442314,
PPM_f,0.0868055555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009645061728395,3.1699250014423206,,,,,,,,
PPND2,0.0,0.0868055555555555,0.0868055555555555,0.0868055555555555,0.0868055555555555,333332.882974049,666665.722007172,0.0,0.0,111110.994689271,,-20.287710867897758,-20.287710867897758,-20.287710867897758,-20.287710867897758,1.5849620631782155,2.5849619680880496,,
PPNDH,999998.634364912,666665.721899413,0.0,666665.752416118,999998.578271067,666666.000137176,333333.058102704,999998.579828171,666666.06730035,666665.821368879,0.5849623597863909,-2.1525644696172116e-07,,-1.492169065266487e-07,0.584962278859966,3.8686264201834463e-07,-0.9999993619605348,0.5849622811063955,5.322067469780926e-07
PPPG9tm_b,999999.0,0.0871671638129268,999999.0,0.306419879930012,0.0007484988806037,0.0,0.0,333333.1289298,0.0,259259.058140594,1.947532256571726,-21.50410629095132,1.947532256571726,-19.690453065376843,-28.367747090902533,,,0.3625703138701692,
PPPG9tm_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0868055555555555,0.0,0.0,0.009645061728395,,,,,,,3.1699250014423206,,
PPTTm,0.0,0.0,0.0,0.0,0.0,10.0,0.0,666666.0,10.0,74076.2222222222,,,,,,-12.854794809822886,,3.1698817211970063,-12.854794809822886
PPYRDC,10.0,10.0,10.0,10.0,10.0,333333.00031858,10.0,10.0,999999.0,148155.777813176,-13.854827269499518,-13.854827269499518,-13.854827269499518,-13.854827269499518,-13.854827269499518,1.1698492628992185,-13.854827269499518,-13.854827269499518,2.754811762241532
PRAGSr_b,999999.0,0.0005675111113753,999999.0,999999.0,999999.0,666666.000072275,333333.000391834,0.0005829715744878,333333.000109599,592592.000191577,0.7548875016970646,-29.959743365083213,0.7548875016970646,0.7548875016970646,0.7548875016970646,0.16992500113231493,-0.8300749973281989,-29.92096646470043,-0.8300749985497374
PRAGSr_f,0.0001643858132534,0.0002940969649053,0.0002607617524979,333333.000100914,0.0002607584201664,0.0,333333.000173842,666666.000081273,0.0868055555555555,148148.00979351,-29.74730630177785,-28.908100203765365,-29.0816598230994,1.169924906507909,-29.08167825973285,,1.169924906823548,2.1699249062470227,-20.7027485315037
PSERDv_SC,0.0001,6.66666666666667e-05,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,7.40740740740741e-05,0.4329594072761058,-0.15200309344504978,0.4329594072761058,0.4329594072761058,,,0.4329594072761058,0.4329594072761058,0.4329594072761058
PSERS_SC_b,0.0,0.0,0.0,0.0057027472442898,0.0,0.0,0.0,0.0092033706200015,0.0,0.0016562353182545,,,,1.783749425554331,,,,2.4742546612511798,
